행정동,전입인구,전입세대,전출인구,전출세대
숭의2동,1420,597,2116,832
숭의1.3동,1944,861,2309,972
숭의4동,1303,558,1863,747
용현1.4동,3132,2411,3354,2402
용현2동,4304,1803,2284,967
용현3동,908,534,1161,612
용현5동,4380,2097,5174,2156
학익1동,2429,946,3295,1137
학익2동,1629,676,2191,806
도화1동,2623,1238,3702,1590
도화2.3동,3128,1370,4253,1637
주안1동,3787,2435,4777,2863
주안2동,7586,3352,2085,877
주안3동,5056,2351,1344,595
주안4동,2472,1034,2001,844
주안5동,2190,1173,2847,1268
주안6동,2577,1283,3154,1367
주안7동,1082,504,1631,654
주안8동,1690,722,2455,950
관교동,1329,547,1626,561
문학동,1867,1073,2188,1143
